MUNICIPIO_CRIME;NATUREZA_CRIME;ARMA_UTILIZADA;DATA_REGISTRO;SEXO;IDADE;MES_ANO;LONGITUDE;LATITUDE;INCIDENCIA_CRIME;POPULACAO;IDHM;PIB_PERCAPITA
Abaiara;Homicidio Doloso;Arma De Fogo;14/01/2018;Masculino;26;01/2018;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma De Fogo;07/10/2015;Masculino;45;10/2015;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma De Fogo;14/12/2016;Masculino;77;12/2016;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma De Fogo;05/08/2017;Masculino;34;08/2017;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma De Fogo;20/06/2015;Masculino;34;06/2015;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma De Fogo;8/01/2015;Masculino;30;01/2015;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma Branca;02/12/2016;Masculino;42;12/2016;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Outros;13/08/2016;Feminino;16;08/2016;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Outros;08/05/2016;Masculino;34;05/2016;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma De Fogo;25/04/2017;Masculino;34;04/2017;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Abaiara;Homicidio Doloso;Arma Branca;29/06/2014;Masculino;34;06/2014;-39,04755;-7,356977;  11;10489;0.628;3429.7199999999998
Acarape;Homicidio Doloso;Arma De Fogo;08/06/2018;Masculino;23;06/2018;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Outros;22/04/2015;Feminino;NA;04/2015;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;11/07/2014;Masculino;15;07/2014;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;16/10/2017;Masculino;42;10/2017;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;12/02/2017;Masculino;23;02/2017;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;03/09/2018;Masculino;47;09/2018;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;16/09/2018;Masculino;54;09/2018;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;23/06/2017;Masculino;19;06/2017;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;22/12/2016;Masculino;25;12/2016;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;04/07/2018;Masculino;51;07/2018;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;28/04/2017;Masculino;NA;04/2017;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;20/05/2018;Masculino;59;05/2018;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;12/02/2017;Masculino;19;02/2017;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;14/03/2014;Masculino;26;03/2014;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;20/04/2018;Masculino;40;04/2018;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;23/01/2016;Masculino;45;01/2016;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma De Fogo;26/12/2015;Masculino;31;12/2015;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
Acarape;Homicidio Doloso;Arma Branca;27/02/2017;Masculino;21;02/2017;-38,70562;-4,223138;  45;15337;0.606;4454.1700000000001
